gender,ethnicity,income,deductions,dependents,filing_status,audit_risk_label
Male,GroupC,42606.74,18247.4,3,head_of_household,1
Female,GroupB,82508.7,15353.05,4,married,0
Female,GroupC,36211.76,6351.99,3,married,1
Female,GroupC,92853.46,11807.09,4,single,0
Female,GroupA,41987.59,3534.29,0,married,0
Male,GroupA,72767.84,12861.95,0,single,0
Male,GroupB,53427.63,12253.02,0,head_of_household,0
Male,GroupA,72063.75,650.92,1,married,0
Female,GroupC,49117.72,4191.08,1,single,0
Female,GroupC,56744.14,8584.31,4,married,0
Female,GroupA,60818.38,8495.7,3,married,0
Male,GroupA,39956.25,3952.62,3,single,1
Male,GroupB,74816.49,11944.89,0,married,0
Male,GroupA,49735.73,11257.37,2,married,0
Male,GroupC,55428.0,9028.65,1,married,0
Female,GroupA,40113.01,6221.04,1,married,0
Male,GroupB,20000.0,15243.54,0,head_of_household,1
Male,GroupA,56179.44,18277.04,1,married,1
Female,GroupB,108252.31,7582.19,0,married,0
Male,GroupA,75692.09,6939.17,4,single,0
Male,GroupB,59614.79,12456.04,3,head_of_household,0
Female,GroupA,54742.18,8209.85,2,single,0
Male,GroupB,60449.32,9303.01,3,single,0
Female,GroupC,70942.38,13698.27,3,single,0
Female,GroupA,36383.74,453.22,4,head_of_household,1
Female,GroupA,82286.43,16591.51,1,single,0
Male,GroupA,74307.63,10363.4,2,single,0
Female,GroupB,74363.71,7942.53,1,single,0
Male,GroupB,68769.51,9553.83,3,married,0
Male,GroupB,60392.33,9812.15,0,single,0
Male,GroupA,73457.22,1343.99,3,head_of_household,0
Female,GroupA,71836.28,17474.69,1,head_of_household,0
Male,GroupB,52919.19,10206.63,3,married,0
Male,GroupA,48527.96,12215.01,0,head_of_household,1
Female,GroupC,62037.13,14757.75,4,head_of_household,0
Male,GroupA,90980.4,4894.19,1,married,0
Male,GroupB,35217.86,12367.36,3,single,1
Male,GroupA,30649.49,8661.79,1,married,1
Male,GroupA,63295.22,14233.85,4,single,0
Male,GroupB,61017.75,0.0,3,single,0
Male,GroupB,63466.83,9504.53,3,head_of_household,0
Female,GroupC,64879.06,6985.9,1,married,0
Male,GroupA,55535.95,12161.31,1,head_of_household,0
Male,GroupA,89797.27,12350.22,0,head_of_household,0
Female,GroupB,27981.92,6461.87,4,single,1
Male,GroupB,43430.06,6439.13,0,head_of_household,0
Female,GroupA,57934.9,9446.67,3,married,0
Male,GroupA,27136.22,5516.79,1,head_of_household,1
Male,GroupA,56482.91,14209.92,3,head_of_household,1
Male,GroupC,93229.4,8153.96,3,single,0
Male,GroupA,60417.73,0.0,2,married,0
Male,GroupA,64614.02,8125.89,2,head_of_household,0
Male,GroupA,34796.7,4807.28,3,single,1
Male,GroupA,47672.77,1843.62,1,head_of_household,0
Male,GroupA,52496.07,3812.87,3,married,0
Male,GroupB,53645.7,10547.04,2,head_of_household,0
Male,GroupA,85632.88,16643.2,1,head_of_household,0
Male,GroupC,71153.82,11565.92,3,single,0
Male,GroupA,37770.84,6967.48,4,head_of_household,1
Female,GroupB,64930.1,12279.52,4,single,0
Male,GroupC,69964.43,7704.55,3,married,0
Female,GroupB,82802.98,6527.0,1,head_of_household,0
Female,GroupB,91610.81,4228.19,3,married,0
Male,GroupA,39698.12,1240.86,3,married,1
Female,GroupA,43782.85,8050.38,2,head_of_household,0
Female,GroupB,34848.44,10790.27,4,single,1
Male,GroupC,55319.6,9516.88,2,married,0
Male,GroupB,69327.17,7920.17,2,married,0
Female,GroupB,79746.69,5271.27,3,head_of_household,0
Female,GroupB,58480.98,13041.23,2,head_of_household,0
Male,GroupA,53603.05,3414.34,4,head_of_household,0
Male,GroupA,63035.16,13880.14,2,head_of_household,0
Male,GroupB,43297.14,4988.91,4,head_of_household,0
Male,GroupC,101790.77,6237.82,2,head_of_household,0
Female,GroupA,27846.78,2666.07,4,single,1
Male,GroupB,63694.81,7492.99,2,married,0
Male,GroupA,100472.12,14876.56,2,single,0
Female,GroupB,60136.0,12578.14,1,single,0
Male,GroupA,56199.22,14892.11,4,head_of_household,1
Male,GroupA,52851.09,12610.71,4,married,0
Female,GroupB,56392.17,4481.65,4,single,0
Female,GroupA,87456.97,8346.05,0,head_of_household,0
Male,GroupB,20000.0,6099.0,2,head_of_household,1
Male,GroupB,90668.67,16652.87,4,married,0
Male,GroupC,31520.86,4016.06,0,single,1
Male,GroupA,54666.95,14468.49,1,single,1
Male,GroupA,51415.11,14464.77,4,single,1
Male,GroupA,71771.07,19148.1,4,head_of_household,1
Male,GroupC,28037.51,7951.57,0,married,1
Male,GroupC,69243.45,13561.61,2,married,0
Male,GroupB,100486.19,21408.26,1,single,0
Male,GroupC,32736.52,6911.79,4,head_of_household,1
Male,GroupB,63794.12,2324.8,2,single,0
Male,GroupB,46760.36,599.95,1,married,0
Male,GroupA,68517.74,13563.56,3,head_of_household,0
Female,GroupB,60382.96,584.25,3,single,0
Female,GroupA,47170.26,8138.4,1,single,0
Female,GroupC,69757.45,12186.57,0,head_of_household,0
Female,GroupB,96086.96,10925.88,1,married,0
Male,GroupB,56181.92,12127.22,1,head_of_household,0
Male,GroupA,74395.16,11111.45,0,single,0
Male,GroupA,34134.54,16394.33,0,single,1
Female,GroupA,40871.27,5238.42,2,single,0
Female,GroupA,69448.13,6615.02,2,single,0
Male,GroupA,89682.32,6136.7,0,married,0
Male,GroupC,67112.27,14150.96,3,married,0
Male,GroupB,53738.84,14501.99,3,single,1
Male,GroupA,59985.83,12256.13,1,married,0
Female,GroupA,34991.85,15917.47,4,married,1
Female,GroupA,72090.31,4109.8,1,married,0
Male,GroupB,77646.66,18336.12,1,single,0
Female,GroupB,50958.19,17616.19,4,head_of_household,1
Female,GroupC,50599.16,13678.11,0,head_of_household,1
Male,GroupA,65317.56,18908.99,3,head_of_household,1
Male,GroupC,51265.61,1716.88,1,single,0
Male,GroupC,58677.35,7377.76,4,married,0
Male,GroupA,101994.44,6323.48,2,married,0
Male,GroupC,55059.49,13607.4,1,single,0
Male,GroupA,52833.2,4749.3,3,single,0
Male,GroupC,47049.16,13787.48,0,head_of_household,1
Male,GroupA,74883.84,16852.68,1,head_of_household,0
Female,GroupC,56375.52,13476.01,1,single,0
Male,GroupC,47012.54,11418.76,4,head_of_household,0
Male,GroupC,86426.08,5060.63,2,married,0
Male,GroupB,88392.06,5765.75,2,single,0
Female,GroupA,47991.53,16248.09,0,single,1
Male,GroupA,22669.2,13896.75,3,married,1
Male,GroupA,80150.27,9804.9,0,married,0
Female,GroupA,46307.4,7910.45,1,married,0
Female,GroupB,75812.51,0.0,1,head_of_household,0
Female,GroupA,20597.92,4645.74,2,single,1
Male,GroupC,77851.95,19557.1,3,head_of_household,1
Male,GroupB,35776.56,3597.72,4,married,1
Female,GroupC,74615.28,10947.4,3,head_of_household,0
Female,GroupA,60285.46,15037.22,1,married,0
Female,GroupC,40921.21,3725.39,4,head_of_household,0
Female,GroupC,51859.27,10923.55,3,head_of_household,0
Male,GroupA,73726.37,14689.58,3,married,0
Female,GroupB,62117.89,10062.5,4,head_of_household,0
Male,GroupB,71688.26,24342.02,1,single,1
Male,GroupA,99528.81,1657.0,3,head_of_household,0
Male,GroupB,28715.17,15293.64,4,head_of_household,1
Male,GroupA,92344.25,9135.99,1,single,0
Male,GroupA,62087.12,13859.6,4,married,0
Male,GroupA,42024.32,12206.54,4,single,1
Female,GroupA,33393.73,6334.22,3,head_of_household,1
Male,GroupA,56217.59,11144.98,1,married,0
Female,GroupA,78433.0,710.49,3,head_of_household,0
Male,GroupC,57449.02,13016.24,0,head_of_household,0
Male,GroupB,90223.1,11490.79,0,single,0
Male,GroupC,30976.49,13193.3,1,single,1
Male,GroupA,59758.22,15290.59,4,married,1
Male,GroupA,34952.13,11838.1,3,married,1
Male,GroupB,67272.64,10740.45,3,married,0
Male,GroupA,77737.75,5594.66,1,head_of_household,0
Female,GroupA,51584.76,6438.9,1,single,0
Male,GroupB,20000.0,15933.67,0,single,1
Female,GroupA,63978.96,17181.68,2,single,1
Male,GroupB,68734.77,8809.45,1,married,0
Female,GroupB,68085.9,10230.01,2,single,0
Female,GroupA,84715.64,5476.93,1,single,0
Female,GroupA,38578.93,15863.78,4,single,1
Male,GroupB,73604.32,13327.08,4,married,0
Male,GroupA,83850.15,19706.09,0,single,0
Male,GroupA,24428.25,5608.38,0,married,1
Female,GroupC,66393.04,8109.96,2,single,0
Female,GroupA,49916.4,11157.23,1,single,0
Female,GroupB,58369.55,13232.45,3,single,0
Male,GroupC,66953.53,8921.66,0,married,0
Female,GroupA,50255.43,5635.19,3,married,0
Female,GroupA,46485.84,14407.04,3,single,1
Male,GroupA,60683.05,13605.68,1,head_of_household,0
Male,GroupA,38255.08,5418.63,2,married,1
Female,GroupA,38283.5,16777.21,1,married,1
Female,GroupB,73587.47,15850.99,0,single,0
Female,GroupA,37024.12,10671.48,3,head_of_household,1
Male,GroupB,73326.25,10397.99,1,single,0
Female,GroupC,69251.83,12770.29,1,married,0
Male,GroupC,25483.87,5691.48,1,married,1
Male,GroupB,46448.71,10150.16,0,single,0
Male,GroupA,83882.19,0.0,2,single,0
Female,GroupB,40376.69,14382.28,1,head_of_household,1
Female,GroupB,50711.91,2192.53,0,head_of_household,0
Male,GroupA,69241.22,17517.1,3,married,1
Male,GroupA,75667.81,8349.4,4,head_of_household,0
Female,GroupC,54969.22,8941.67,0,head_of_household,0
Male,GroupA,48049.8,6861.33,4,married,0
Female,GroupA,88447.4,8559.81,1,married,0
Male,GroupA,94777.99,17092.66,1,married,0
Male,GroupA,79577.16,0.0,0,married,0
Male,GroupC,61706.36,16384.83,4,single,1
Male,GroupB,43834.69,11690.12,1,married,1
Female,GroupB,43391.11,3964.89,3,married,0
Male,GroupA,70450.28,4623.44,2,married,0
Male,GroupA,68367.96,18381.97,2,head_of_household,1
Female,GroupA,88031.97,5272.47,1,married,0
Male,GroupA,73009.0,4233.25,4,single,0
Male,GroupA,29938.39,15686.57,1,single,1
Female,GroupB,81038.95,11692.76,4,married,0
Female,GroupA,40038.79,5310.37,3,single,0
Male,GroupB,52320.57,11083.12,4,head_of_household,0
Female,GroupA,65004.0,4871.24,1,married,0
Female,GroupA,99913.35,15504.11,3,single,0
Male,GroupA,122198.37,15306.85,0,single,0
Male,GroupC,72134.46,12660.03,2,married,0
Female,GroupC,56336.07,11808.31,1,single,0
Female,GroupC,70690.11,18805.94,1,married,1
Male,GroupA,77753.11,9998.43,1,single,0
Female,GroupA,53586.65,4090.63,3,head_of_household,0
Female,GroupB,95904.23,12247.37,0,single,0
Male,GroupA,64601.42,20430.24,4,single,1
Male,GroupC,69954.86,4926.2,0,married,0
Male,GroupA,73318.49,8192.69,3,single,0
Female,GroupA,68431.73,12082.23,1,married,0
Male,GroupA,76778.81,9730.48,2,head_of_household,0
Female,GroupA,47654.94,5088.48,1,married,0
Female,GroupB,48833.96,15609.29,4,married,1
Female,GroupA,37996.92,21600.2,2,single,1
Male,GroupA,68790.02,10980.66,1,head_of_household,0
Female,GroupA,75578.73,5479.66,2,married,0
Male,GroupA,69155.46,2255.2,0,single,0
Female,GroupB,93489.85,11289.88,3,single,0
Male,GroupC,59888.08,15519.39,1,married,1
Male,GroupC,73374.83,12375.84,4,single,0
Female,GroupB,38165.98,9987.98,0,married,1
Male,GroupA,52258.01,7053.64,1,married,0
Male,GroupB,73910.76,4539.18,0,married,0
Female,GroupA,76982.04,14173.76,4,head_of_household,0
Female,GroupA,54120.66,14568.86,1,married,1
Female,GroupC,58568.01,2271.35,4,single,0
Female,GroupA,29642.53,17949.19,2,head_of_household,1
Male,GroupC,52859.42,12870.36,4,single,0
Male,GroupA,77807.66,16997.97,2,head_of_household,0
Male,GroupB,71504.1,3289.36,1,head_of_household,0
Male,GroupB,70013.31,3170.88,2,head_of_household,0
Female,GroupC,60995.47,9255.15,1,head_of_household,0
Female,GroupB,60141.26,12513.92,1,single,0
Male,GroupB,46793.58,18981.8,3,married,1
Male,GroupA,73976.57,13530.39,1,single,0
Female,GroupB,68419.46,8786.59,2,married,0
Male,GroupA,69840.38,4868.15,3,single,0
Female,GroupB,49479.3,16150.0,3,head_of_household,1
Male,GroupB,20000.0,5176.47,1,head_of_household,1
Female,GroupB,81943.05,18142.34,4,married,0
Male,GroupA,50423.25,8578.08,4,married,0
Female,GroupA,42744.48,17952.91,3,single,1
Female,GroupB,73869.58,13394.66,1,married,0
Female,GroupA,52159.75,9315.02,4,single,0
Female,GroupA,81198.73,7403.02,1,married,0
Female,GroupA,72340.12,8295.46,1,married,0
Female,GroupC,73671.39,12141.58,3,married,0
Male,GroupB,32680.89,10385.78,3,head_of_household,1
Female,GroupA,84238.88,7030.94,0,head_of_household,0
Female,GroupA,65225.01,9171.84,4,single,0
Male,GroupA,52614.46,10392.89,4,married,0
Female,GroupB,62867.77,0.0,4,single,0
Female,GroupB,24475.3,12290.84,2,married,1
Female,GroupA,68173.06,5101.39,1,head_of_household,0
Male,GroupA,39412.57,4233.34,3,head_of_household,1
Male,GroupA,32946.59,1563.28,4,married,1
Female,GroupB,29552.82,1030.54,0,married,1
Female,GroupB,82253.77,3222.76,4,head_of_household,0
Male,GroupA,47414.73,6454.9,1,head_of_household,0
Female,GroupA,90674.55,19766.3,1,single,0
Female,GroupA,49283.97,7370.6,3,head_of_household,0
Male,GroupC,25852.84,10888.75,2,married,1
Female,GroupA,37669.51,12002.41,3,single,1
Male,GroupB,84716.23,10655.33,4,married,0
Male,GroupB,56882.04,9612.78,0,single,0
Male,GroupA,49034.25,4023.53,3,married,0
Female,GroupA,63200.36,17254.64,2,head_of_household,1
Male,GroupA,70035.65,19035.98,3,married,1
Male,GroupB,82347.98,1586.71,1,single,0
Male,GroupB,88969.98,4879.86,4,married,0
Male,GroupB,52804.63,8600.95,4,single,0
Female,GroupB,33479.05,5177.31,4,married,1
Male,GroupA,51730.7,12529.83,4,head_of_household,0
Male,GroupC,65205.61,6358.64,4,head_of_household,0
Female,GroupB,40724.82,20825.28,4,married,1
Male,GroupA,40856.98,15952.74,0,married,1
Male,GroupC,66875.76,11062.87,2,married,0
Male,GroupB,59026.95,15134.93,4,single,1
Male,GroupB,60655.94,15529.5,2,married,1
Male,GroupB,44830.09,7180.26,4,married,0
Male,GroupC,55391.99,5918.91,3,single,0
Male,GroupB,41515.34,10390.72,4,head_of_household,1
Female,GroupA,77803.97,14308.18,1,married,0
Male,GroupA,80704.99,10695.3,0,married,0
Female,GroupC,23076.24,2115.02,3,head_of_household,1
Female,GroupA,41409.78,5985.88,3,head_of_household,0
Male,GroupA,30069.41,9630.14,1,single,1
Female,GroupA,46999.52,9621.67,4,married,0
Male,GroupA,58331.24,19862.71,0,married,1
Female,GroupB,31007.1,3070.06,3,single,1
Male,GroupC,41562.8,12527.95,0,head_of_household,1
Male,GroupA,39920.85,17445.57,3,single,1
Male,GroupA,64145.35,21357.25,4,head_of_household,1
Female,GroupA,61386.89,7978.01,3,single,0
Male,GroupC,45565.25,12457.15,3,head_of_household,1
Female,GroupB,63536.42,12848.8,2,single,0
Male,GroupA,49066.4,10977.41,4,head_of_household,0
Female,GroupC,54566.9,9505.77,1,head_of_household,0
Male,GroupC,93469.04,12179.88,1,head_of_household,0
Female,GroupC,86809.22,0.0,4,head_of_household,0
Male,GroupC,34008.38,13410.35,1,head_of_household,1
Male,GroupA,76594.65,10630.89,4,married,0
Male,GroupB,76227.93,8887.63,1,head_of_household,0
Male,GroupA,37034.73,20234.31,2,married,1
Female,GroupC,76375.55,6625.33,1,head_of_household,0
Male,GroupB,90758.64,7984.62,3,married,0
Female,GroupB,37549.1,19957.77,4,married,1
Male,GroupB,41649.94,5839.69,0,single,0
Male,GroupA,80353.23,7249.42,0,head_of_household,0
Male,GroupB,65429.91,9264.87,4,single,0
Male,GroupC,71029.53,14203.67,2,single,0
Female,GroupC,66811.78,11039.01,1,head_of_household,0
Male,GroupA,67813.92,3536.87,2,single,0
Male,GroupA,33470.56,7339.16,0,head_of_household,1
Female,GroupA,80946.35,6963.23,4,single,0
Female,GroupB,83391.8,9613.89,4,head_of_household,0
Male,GroupC,55412.19,12129.22,2,head_of_household,0
Male,GroupA,59130.46,12091.03,2,head_of_household,0
Female,GroupB,29377.85,1119.94,1,married,1
Male,GroupC,70285.1,15319.7,3,single,0
Male,GroupB,71441.15,11262.84,3,married,0
Male,GroupB,58756.18,16922.66,1,single,1
Female,GroupB,82487.07,12220.99,3,single,0
Female,GroupB,53318.46,15506.61,0,single,1
Male,GroupA,71292.12,12332.73,3,married,0
Male,GroupB,39606.71,16731.13,1,single,1
Male,GroupB,59528.96,12611.25,3,married,0
Female,GroupC,56512.91,9510.42,4,head_of_household,0
Male,GroupB,64506.16,21362.17,2,single,1
Male,GroupB,52609.46,14445.19,0,single,1
Female,GroupA,57370.55,12868.72,4,head_of_household,0
Male,GroupA,76520.94,3618.48,4,head_of_household,0
Female,GroupA,51264.72,3558.46,1,single,0
Male,GroupA,27868.46,11463.58,2,head_of_household,1
Male,GroupB,94991.68,10727.61,2,married,0
Male,GroupC,87629.08,6929.39,0,married,0
Female,GroupA,34154.75,10704.91,1,single,1
Female,GroupA,73794.16,17943.13,0,married,0
Female,GroupC,49940.5,13477.01,3,married,1
Male,GroupA,65269.74,4294.96,4,single,0
Female,GroupB,65884.48,9442.46,0,head_of_household,0
Male,GroupB,55311.84,5975.17,4,single,0
Male,GroupB,44324.69,8061.5,1,married,0
Female,GroupA,46189.18,7931.92,3,single,0
Male,GroupA,41676.16,7611.77,1,single,0
Male,GroupB,43363.56,3724.32,3,married,0
Male,GroupB,58656.43,9361.73,3,married,0
Male,GroupA,45684.8,7196.96,4,single,0
Male,GroupB,73641.04,0.0,1,married,0
Female,GroupA,89744.92,20264.86,1,married,0
Male,GroupB,48398.94,15443.85,0,married,1
Female,GroupA,64788.09,8118.5,1,married,0
Female,GroupC,69993.7,10094.1,0,married,0
Male,GroupA,69440.05,4141.73,2,married,0
Male,GroupA,61519.11,18478.61,2,head_of_household,1
Male,GroupA,74853.65,19486.44,2,single,1
Female,GroupA,69644.98,10783.47,1,married,0
Male,GroupC,35246.75,15117.65,1,single,1
Female,GroupC,77383.12,10876.43,0,head_of_household,0
Male,GroupA,77745.82,3316.37,3,married,0
Female,GroupA,44734.28,7940.88,0,single,0
Male,GroupB,60758.76,10659.64,2,married,0
Male,GroupC,73666.58,7727.26,0,married,0
Female,GroupB,55813.72,8906.73,3,married,0
Female,GroupA,81459.56,9543.0,1,married,0
Male,GroupA,107277.45,9595.61,0,married,0
Female,GroupB,44280.28,10261.29,2,married,0
Male,GroupA,32379.11,4696.97,2,married,1
Female,GroupB,66076.37,6414.92,1,head_of_household,0
Female,GroupA,74431.25,3577.08,0,head_of_household,0
Male,GroupB,55382.67,14889.08,3,married,1
Male,GroupA,89065.21,0.0,1,married,0
Male,GroupB,33227.88,15767.95,0,head_of_household,1
Male,GroupA,73858.37,16931.75,4,head_of_household,0
Female,GroupB,47882.78,8489.1,2,head_of_household,0
Male,GroupA,94387.56,0.0,3,married,0
Male,GroupB,99850.31,8193.45,3,single,0
Female,GroupB,44666.87,9679.08,3,single,0
Female,GroupB,49008.86,4947.01,2,single,0
Male,GroupB,77191.76,7423.91,0,single,0
Male,GroupB,52257.39,17650.98,1,married,1
Male,GroupC,59091.78,13324.64,0,single,0
Male,GroupA,60507.77,5377.18,1,head_of_household,0
Female,GroupC,21606.54,2012.0,3,head_of_household,1
Male,GroupA,59723.25,8364.91,0,single,0
Female,GroupA,46205.44,8932.72,3,head_of_household,0
Male,GroupA,50137.54,12481.0,4,married,0
Female,GroupA,88872.64,7323.42,3,single,0
Female,GroupB,34869.86,12557.5,3,single,1
Female,GroupB,76264.1,19675.77,1,married,1
Male,GroupB,54420.74,14077.51,4,head_of_household,1
Male,GroupB,54404.8,9759.56,3,married,0
Male,GroupA,75807.44,9084.25,3,married,0
Female,GroupA,66801.03,8216.63,4,head_of_household,0
Female,GroupA,71412.26,15903.2,4,married,0
Female,GroupA,79363.69,6863.43,0,head_of_household,0
Female,GroupA,53373.83,10226.11,1,head_of_household,0
Female,GroupA,47755.27,10255.99,4,married,0
Male,GroupB,38296.99,7491.08,4,head_of_household,1
Female,GroupB,43491.79,3137.67,2,married,0
Male,GroupC,118981.89,11614.87,4,head_of_household,0
Male,GroupC,84893.59,9694.98,1,single,0
Male,GroupB,32978.51,12501.2,3,head_of_household,1
Male,GroupA,33550.84,7332.0,3,head_of_household,1
Male,GroupB,69637.32,16104.11,3,married,0
Female,GroupB,70945.3,5616.13,3,head_of_household,0
Male,GroupA,70977.68,18560.2,2,single,1
Female,GroupA,54900.88,1261.82,4,single,0
Male,GroupC,57490.91,12173.85,3,head_of_household,0
Male,GroupA,66557.59,12377.15,0,head_of_household,0
Male,GroupB,61717.86,6022.21,3,single,0
Male,GroupB,20000.0,12121.97,4,married,1
Female,GroupA,55404.01,16397.59,3,single,1
Male,GroupA,42971.87,0.0,2,single,0
Female,GroupA,63504.23,12513.72,1,head_of_household,0
Male,GroupA,119705.18,0.0,1,head_of_household,0
Female,GroupA,67349.63,5171.68,4,single,0
Female,GroupC,53729.41,18145.83,1,married,1
Female,GroupA,78436.03,7091.09,1,single,0
Male,GroupB,69653.76,4130.6,0,single,0
Male,GroupA,68401.89,9010.31,4,married,0
Male,GroupC,72137.01,20339.53,4,single,1
Female,GroupA,101130.87,841.59,1,single,0
Male,GroupA,37382.23,4743.45,1,head_of_household,1
Male,GroupC,69472.64,17487.16,1,married,1
Female,GroupC,41472.38,19288.51,2,head_of_household,1
Male,GroupA,71110.25,9482.84,3,head_of_household,0
Female,GroupC,41626.27,3804.74,2,married,0
Male,GroupA,51652.66,20479.22,4,married,1
Male,GroupA,54098.2,17972.21,0,single,1
Female,GroupA,79516.33,13394.73,3,head_of_household,0
Male,GroupA,78369.09,5937.99,0,married,0
Female,GroupB,35085.65,9754.85,4,head_of_household,1
Male,GroupA,61098.68,9198.2,4,head_of_household,0
Male,GroupA,45808.4,11654.26,0,married,1
Female,GroupB,34829.9,17255.01,0,single,1
Female,GroupB,55659.66,14397.09,0,head_of_household,1
Female,GroupA,53830.34,4613.12,4,married,0
Male,GroupB,108534.33,16882.48,1,single,0
Female,GroupA,68659.2,11565.66,0,head_of_household,0
Male,GroupB,32447.65,13435.33,3,married,1
Male,GroupB,48704.52,17332.7,4,head_of_household,1
Female,GroupC,80427.67,4442.1,2,married,0
Male,GroupA,101768.86,9820.87,2,married,0
Female,GroupA,28280.33,7342.73,3,head_of_household,1
Male,GroupA,22401.51,2160.7,1,head_of_household,1
